,dir,accuracies,packsRaw
14,francoisolivier-fork-of-titanic-20,0.774,"{'character(0)': ['extractFeatures'], 'package:base': ['as.factor', 'c', 'data.frame', 'is.na', 'library', 'order', 'print', 'return', 'set.seed'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
15,zahoorahmad-titanic-2nd-degree-families-and-majority-voting,0.8170000000000001,"{'c(""package:dplyr"", ""package:Hmisc"")': ['summarize'], 'c(""package:dplyr"", ""package:stats"")': ['filter'], 'character(0)': ['pretty_breaks', 'set'], 'package:base': ['as.character', 'as.data.frame', 'as.factor', 'as.numeric', 'as.ordered', 'c', 'cat', 'cbind', 'colnames', 'data.frame', 'factor', 'ifelse', 'is.na', 'length', 'library', 'max', 'mean', 'nrow', 'paste', 'print', 'prop.table', 'range', 'rbind', 'rm', 'round', 'rownames', 'rowSums', 'sapply', 'seq', 'set.seed', 'strsplit', 'sub', 'substring', 'sum', 'summary', 'table', 'unique', 'which'], 'package:caret': ['train', 'trainControl'], 'package:corrplot': ['corrplot.mixed'], 'package:dplyr': ['arrange', 'group_by', 'left_join', 'n', 'select', 'summarise'], 'package:ggplot2': ['aes', 'element_text', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_label', 'ggplot', 'labs', 'scale_fill_manual', 'scale_x_continuous', 'scale_x_discrete', 'scale_y_continuous', 'theme', 'theme_grey', 'xlab'], 'package:graphics': ['hist', 'par'], 'package:gridExtra': ['grid.arrange'], 'package:Hmisc': ['cut2'], 'package:knitr': ['kable'], 'package:randomForest': ['varImpPlot'], 'package:stats': ['cor', 'lm', 'median', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
16,mcliff-exploring-survival-on-the-titanic,0.774,"{'character(0)': ['getMissingRows', 'norm01'], 'package:base': ['as.data.frame', 'as.factor', 'c', 'ceiling', 'data.frame', 'factor', 'integer', 'is.na', 'library', 'max', 'names', 'nrow', 'paste', 'print', 'rep', 'return', 'sample', 'substring', 'summary'], 'package:caret': ['confusionMatrix', 'preProcess', 'train'], 'package:dplyr': ['bind_rows', 'mutate', 'select'], 'package:dummies': ['dummy.data.frame'], 'package:forcats': ['fct_recode'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_density', 'ggplot', 'labs', 'scale_x_continuous'], 'package:scales': ['pretty_breaks'], 'package:stats': ['lm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
17,francoisolivier-titanic-20,0.776,"{'character(0)': ['extractFeatures'], 'package:base': ['as.factor', 'c', 'data.frame', 'is.na', 'library', 'return', 'row.names', 'set.seed'], 'package:ggplot2': ['aes', 'coord_flip', 'element_text', 'geom_bar', 'ggplot', 'ggsave', 'ggtitle', 'theme', 'theme_light', 'xlab', 'ylab'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'write.csv']}"
18,paulbisto-r-titanic-script-practice,0.778,"{'package:base': ['as.data.frame', 'as.factor', 'is.na', 'library', 'names', 'nrow', 'rbind', 'summary', 'table'], 'package:ggplot2': ['aes', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_jitter', 'ggplot', 'ggtitle'], 'package:randomForest': ['randomForest'], 'package:stats': ['as.formula', 'median', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'tail', 'write.csv']}"
19,prasadsawant1107-predicting-survival-on-titanic,0.778,"{'package:base': ['c', 'data.frame', 'factor', 'grepl', 'is.na', 'library', 'sum'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'geom_bar', 'ggplot', 'scale_x_continuous'], 'package:graphics': ['plot', 'text'], 'package:rpart': ['rpart'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
20,akramsayadi-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
21,proj20-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
22,alma123-titanic,0.757,"{'c(""package:ROCR"", ""package:graphics"")': ['plot'], 'character(0)': ['extractFeatures'], 'package:base': ['abs', 'as.character', 'as.factor', 'as.numeric', 'c', 'data.frame', 'gsub', 'ifelse', 'is.na', 'lapply', 'library', 'list', 'mean', 'merge', 'names', 'paste', 'rbind', 'return', 'round', 'row.names', 'set.seed', 'substr', 'summary', 'toupper', 'unlist'], 'package:ggplot2': ['aes', 'coord_flip', 'element_text', 'geom_bar', 'ggplot', 'ggtitle', 'theme', 'theme_light', 'xlab', 'ylab'], 'package:graphics': ['abline'], 'package:methods': ['slot'], 'package:randomForest': ['importance', 'randomForest'], 'package:ROCR': ['performance', 'prediction'], 'package:stats': ['aggregate', 'lm', 'predict', 'reorder'], 'package:utils': ['read.csv', 'write.csv']}"
23,mrsheriff-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
24,xuhuiz0918-initial-eda-and-lm-on-titanic-dataset,0.781,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'factor', 'ifelse', 'is.na', 'levels', 'library', 'max', 'min', 'round', 'sum', 'summary', 'system'], 'package:dplyr': ['glimpse', 'mutate', 'select'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_histogram', 'ggplot', 'ggtitle', 'scale_fill_discrete', 'scale_x_discrete', 'xlab', 'ylab'], 'package:ggthemes': ['theme_few'], 'package:stats': ['lm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
25,jmercer187-fork-of-titanic2,0.769,"{'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'paste', 'rbind', 'sapply', 'set.seed', 'strsplit', 'system'], 'package:randomForest': ['randomForest'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
26,ianwells-titanic-simple-rf-with-name-and-age-features,0.786,"{'package:Amelia': ['missmap'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'factor', 'is.na', 'library', 'log', 'matrix', 'mean', 'names', 'nrow', 'pmax', 'sapply'], 'package:caret': ['confusionMatrix'], 'package:dplyr': ['coalesce', 'group_by', 'inner_join', 'left_join', 'sample_frac', 'select', 'summarise'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:stats': ['na.omit', 'predict'], 'package:stringr': ['str_split'], 'package:utils': ['read.csv', 'write.table']}"
27,rboimistruk-titanic-survivals-analysis,0.786,"{'package:Amelia': ['missmap'], 'package:base': ['as.data.frame', 'as.factor', 'as.numeric', 'c', 'cbind', 'colnames', 'data.frame', 'factor', 'grepl', 'gsub', 'ifelse', 'is.na', 'library', 'list', 'mean', 'round', 'set.seed', 'summary'], 'package:caret': ['confusionMatrix', 'createDataPartition', 'resamples', 'train', 'trainControl'], 'package:dplyr': ['bind_rows', 'group_by', 'summarise'], 'package:ggplot2': ['aes', 'element_text', 'facet_grid', 'geom_bar', 'geom_histogram', 'ggplot', 'ggtitle', 'labs', 'scale_fill_discrete', 'stat_function', 'theme'], 'package:gridExtra': ['grid.arrange'], 'package:knitr': ['kable'], 'package:lattice': ['dotplot'], 'package:randomForest': ['randomForest'], 'package:stats': ['predict', 'sd'], 'package:utils': ['head', 'read.csv', 'str', 'tail', 'write.csv']}"
28,sawajid-titanic-test,0.668,"{'package:base': ['data.frame', 'library', 'rep', 'summary'], 'package:utils': ['read.csv', 'write.csv']}"
29,meggles-titanic-svm-submission-1-0,0.776,"{'c(""package:arules"", ""package:stats"")': ['predict'], 'c(""package:dplyr"", ""package:stats"")': ['filter'], 'c(""package:Matrix"", ""package:base"")': ['as.matrix', 'mean'], 'c(""package:mice"", ""package:base"")': ['cbind'], 'package:arules': ['discretize'], 'package:base': ['as.character', 'as.data.frame', 'as.numeric', 'c', 'gsub', 'ifelse', 'is.na', 'library', 'names', 'nchar', 'options'], 'package:dplyr': ['mutate', 'select'], 'package:e1071': ['svm'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['randomForest'], 'package:readr': ['read_csv'], 'package:stats': ['model.matrix'], 'package:stringr': ['str_detect', 'str_locate', 'str_sub'], 'package:utils': ['write.csv'], 'package:xgboost': ['xgboost']}"
30,nashyegi-who-all-survived-the-titanic,0.793,"{'character(0)': ['grid.layout', 'grid.newpage', 'multiplot', 'pushViewport', 'viewport'], 'package:base': ['as.data.frame', 'as.integer', 'c', 'ceiling', 'data.frame', 'factor', 'is.na', 'is.null', 'length', 'levels', 'library', 'list', 'matrix', 'mean', 'names', 'ncol', 'nrow', 'print', 'rbind', 'rep', 'sample', 'seq', 'set.seed', 'substr', 'sum', 'system', 'table', 'which'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_histogram', 'ggplot'], 'package:randomForest': ['randomForest'], 'package:stats': ['na.omit', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
31,bubblride-titanic-e1071-c-svc-five-features,0.683,"{'package:base': ['as.factor', 'ifelse', 'is.na', 'library', 'list.files', 'log', 'options', 'set.seed', 'unname', 'which.max'], 'package:caret': ['confusionMatrix', 'createDataPartition'], 'package:dplyr': ['mutate', 'select'], 'package:e1071': ['svm'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
32,amuthand-a-titanic-unpredicted-disaster-predicted,0.786,"{'package:base': ['as.factor', 'c', 'colnames', 'data.frame', 'factor', 'getwd', 'gsub', 'ifelse', 'is.na', 'library', 'paste', 'prop.table', 'round', 'row.names', 'set.seed', 'summary', 'table'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'coord_flip', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_hline', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'theme_grey'], 'package:ggthemes': ['theme_base', 'theme_few'], 'package:graphics': ['hist', 'legend', 'par', 'plot'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
33,tosnaldo10-titanic-challange,0.774,"{'package:base': ['as.character', 'as.factor', 'c', 'colnames', 'colSums', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'paste0', 'rbind', 'rep', 'round', 'row.names', 'set.seed', 'table'], 'package:dplyr': ['dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'geom_bar', 'geom_text', 'ggplot', 'ggtitle', 'labs', 'xlab', 'ylab'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['legend', 'mosaicplot', 'plot'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['predict', 'reorder'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
34,youhe2482-titanic-a-very-first-step,0.786,"{'package:base': ['as.factor', 'c', 'cbind', 'data.frame', 'is.na', 'library', 'mean', 'print', 'sapply', 'sum'], 'package:corrplot': ['corrplot'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_boxplot', 'geom_hline', 'ggplot'], 'package:randomForest': ['randomForest'], 'package:stats': ['cor', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
35,preritsaxena-fork-of-ml-basics-on-titanic-data,0.783,"{'c(""package:colorspace"", ""package:graphics"")': ['plot'], 'character(0)': ['write_to_file'], 'package:base': ['as.factor', 'c', 'colnames', 'colSums', 'data.frame', 'is.na', 'levels', 'library', 'names', 'paste', 'set.seed', 'sort', 'sum', 'summary', 'table'], 'package:caret': ['confusionMatrix'], 'package:caTools': ['sample.split'], 'package:DMwR': ['centralImputation'], 'package:graphics': ['hist'], 'package:mice': ['md.pattern'], 'package:randomForest': ['importance', 'randomForest'], 'package:rpart': ['plotcp', 'rpart', 'rpart.control'], 'package:rpart.plot': ['prp'], 'package:stats': ['predict'], 'package:utils': ['read.table', 'str', 'write.csv'], 'package:VIM': ['aggr']}"
36,cdeotte-titanic-deep-net-0-82296,0.807,"{'package:base': ['abs', 'c', 'cat', 'data.frame', 'ifelse', 'is.na', 'library', 'mean', 'rbind', 'regexpr', 'rep', 'row.names', 'sample', 'set.seed', 'sprintf', 'substring', 'sum', 'which'], 'package:graphics': ['plot'], 'package:neuralnet': ['compute', 'neuralnet'], 'package:rpart': ['rpart'], 'package:stats': ['as.formula', 'ave', 'predict'], 'package:utils': ['head', 'read.csv', 'write.csv']}"
37,shashankseth-basic-eda-and-ml-on-titanic-dataset,0.769,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'character(0)': ['remove_outliers'], 'package:base': ['as.factor', 'c', 'data.frame', 'factor', 'ifelse', 'is.na', 'lapply', 'length', 'library', 'mean', 'nrow', 'prop.table', 'sample', 'set.seed', 'sum', 'summary', 'table', 'unique'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_boxplot', 'ggplot'], 'package:graphics': ['boxplot'], 'package:stats': ['glm', 'IQR', 'predict', 'quantile'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
38,alfonzo-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
39,alamgirm-predicting-survival-on-titanic-dataset,0.747,"{'package:base': ['as.character', 'attributes', 'c', 'character', 'data.frame', 'factor', 'ifelse', 'lapply', 'length', 'library', 'nrow', 'print', 'regexpr', 'regmatches', 'sample', 'seq_len', 'set.seed', 'sort', 'sub', 'system', 'table', 'trimws', 'unique', 'unlist'], 'package:e1071': ['svm'], 'package:graphics': ['plot'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
40,supriya675-titanic-prediction-simplified-for-beginners,0.79,"{'package:base': ['as.data.frame', 'as.factor', 'c', 'colnames', 'is.na', 'library', 'nrow', 'rbind', 'sapply', 'set.seed', 'sum', 'table'], 'package:graphics': ['legend', 'plot'], 'package:randomForest': ['randomForest'], 'package:stats': ['as.formula', 'lm', 'median', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'tail', 'write.csv']}"
