,Survived,PassengerId
319,0,1211
320,0,1212
321,1,1213
322,0,1214
323,0,1215
324,1,1216
325,0,1217
326,1,1218
327,0,1219
328,0,1220
329,0,1221
330,1,1222
331,0,1223
332,0,1224
333,0,1225
334,0,1226
335,0,1227
336,0,1228
337,0,1229
338,0,1230
339,0,1231
340,0,1232
341,1,1233
342,0,1234
343,1,1235
344,0,1236
345,1,1237
346,0,1238
347,1,1239
348,0,1240
349,1,1241
350,1,1242
351,0,1243
352,0,1244
353,0,1245
354,0,1246
355,0,1247
356,1,1248
357,0,1249
358,1,1250
359,0,1251
360,0,1252
361,1,1253
362,1,1254
363,0,1255
364,1,1256
365,0,1257
366,0,1258
367,0,1259
368,1,1260
369,1,1261
370,0,1262
371,1,1263
372,1,1264
373,0,1265
374,1,1266
375,1,1267
376,0,1268
377,0,1269
378,0,1270
379,0,1271
380,0,1272
381,0,1273
382,0,1274
383,0,1275
384,0,1276
385,1,1277
386,0,1278
387,0,1279
388,0,1280
389,0,1281
390,0,1282
391,1,1283
392,0,1284
393,0,1285
394,1,1286
395,1,1287
396,0,1288
397,1,1289
398,0,1290
399,0,1291
400,1,1292
401,0,1293
402,1,1294
403,0,1295
404,1,1296
405,0,1297
406,0,1298
407,0,1299
408,0,1300
409,0,1301
410,0,1302
411,1,1303
412,0,1304
413,0,1305
414,1,1306
415,0,1307
416,0,1308
417,1,1309
