Name,Accuracy,Functions,Packages,Runtime,Functions_by_users,Copy_of,most_similar,index_of_similarity,raw_json
pavani2018-titanicr-random-forests,0.751,"['user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'as.data.frame', 'as.factor', 'c', 'ifelse', 'is.na', 'library', 'list.files', 'nrow', 'rbind', 'sapply', 'table', 'boxplot.stats', 'rpart', 'as.formula', 'lm', 'median', 'predict', 'str_extract', 'read.csv', 'write.csv']","['tidyverse', 'tidyverse', 'stringr', 'dplyr', 'rpart', 'base']",1.36824703216553,"['nrow', 'as.formula', 'median', 'boxplot.stats', 'is.na', 'lm', 'rpart', 'as.factor', 'sapply', 'str_extract', 'read.csv', 'table', 'as.data.frame', 'c', 'rbind', 'ifelse', 'predict', 'write.csv', 'list.files', 'user defined', 'library']",[],"['paulbisto-r-titanic-script-practice', 'suraj915-titanic-suraj', 'predact-easy-r-titanic-predictive-model', 'utkarsh1997-kaggle-titanic-rf', 'pradeeptripathi-prediction-of-titanic-survival-using-r', 'pradeeptripathi-prediction-of-titanic-survival-using-random-forest', 'lokesharun-titanic', 'mailakshdeep-titanic-survival-prediction-r', 'acrespop-titanic1', 'hisnibs-titanic-enhancing-the-training-data-and-kis']","[0.9408706299096873, 0.9391460211276598, 0.932165908805524, 0.9077087151541804, 0.8708724079991157, 0.8703075757007375, 0.8388541595107099, 0.7659891350528263, 0.7453187471765634, 0.6982110988624993]","{'character(0)': ['randomForest'], 'package:base': ['as.data.frame', 'as.factor', 'c', 'ifelse', 'is.na', 'library', 'list.files', 'nrow', 'rbind', 'sapply', 'table'], 'package:grDevices': ['boxplot.stats'], 'package:rpart': ['rpart'], 'package:stats': ['as.formula', 'lm', 'median', 'predict'], 'package:stringr': ['str_extract'], 'package:utils': ['read.csv', 'write.csv']}"
dleprovost-simple-titanic-exploration,0.763,"['user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'as.data.frame', 'as.factor', 'as.integer', 'as.numeric', 'c', 'colnames', 'cumsum', 'cut', 'data.frame', 'factor', 'is.na', 'length', 'library', 'list', 'mean', 'names', 'ncol', 'nrow', 'rbind', 'rep', 'return', 'round', 'row.names', 'sample', 'sapply', 'seq', 'set.seed', 'split', 'subset', 'sum', 'summary', 'suppressMessages', 'suppressWarnings', 'which.min', 'within', 'legend', 'plot', 'aggregate', 'cor', 'filter', 'median', 'predict', 'reorder', 'setNames', 'read.csv', 'stack', 'str', 'write.csv']",['base'],29.0000429153442,"['which.min', 'nrow', 'list', 'mean', 'median', 'split', 'cor', 'is.na', 'subset', 'names', 'ncol', 'stack', 'as.factor', 'summary', 'filter', 'round', 'sapply', 'rep', 'str', 'set.seed', 'factor', 'as.integer', 'colnames', 'cumsum', 'suppressWarnings', 'aggregate', 'cut', 'within', 'length', 'read.csv', 'suppressMessages', 'return', 'as.data.frame', 'row.names', 'c', 'rbind', 'sample', 'as.numeric', 'sum', 'plot', 'legend', 'predict', 'seq', 'reorder', 'setNames', 'write.csv', 'data.frame', 'user defined', 'library']",[],"['vishnusaiv-titanic-data-analysis', 'xuhuiz0918-initial-eda-and-lm-on-titanic-dataset', 'pradeeptripathi-prediction-of-titanic-survival-using-r', 'pradeeptripathi-prediction-of-titanic-survival-using-random-forest', 'paulbisto-r-titanic-script-practice', 'lokesharun-titanic', 'predact-easy-r-titanic-predictive-model', 'divyasshree-titanic-ml-club', 'utkarsh1997-kaggle-titanic-rf', 'suraj915-titanic-suraj']","[0.5069634741512232, 0.4900218310907871, 0.4833485689462033, 0.4833380777392197, 0.47918937582967974, 0.4726808550625561, 0.4713133588019609, 0.470346739207311, 0.4545530353556169, 0.45162809592741743]","{'character(0)': ['add_mSurv', 'aes', 'bind_rows', 'coord_flip', 'corrplot', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_boxplot', 'geom_histogram', 'geom_hline', 'getScores', 'ggplot', 'guide_legend', 'guides', 'importance', 'labs', 'ldply', 'left_join', 'multiplot', 'plotcp', 'prp', 'prune', 'qplot', 'quiet', 'randomForest', 'revalue', 'rpart', 'rpart.control', 'scale_linetype_manual', 'score', 'select', 'svm', 'theme'], 'package:base': ['as.data.frame', 'as.factor', 'as.integer', 'as.numeric', 'c', 'colnames', 'cumsum', 'cut', 'data.frame', 'factor', 'is.na', 'length', 'library', 'list', 'mean', 'names', 'ncol', 'nrow', 'rbind', 'rep', 'return', 'round', 'row.names', 'sample', 'sapply', 'seq', 'set.seed', 'split', 'subset', 'sum', 'summary', 'suppressMessages', 'suppressWarnings', 'which.min', 'within'], 'package:graphics': ['legend', 'plot'], 'package:stats': ['aggregate', 'cor', 'filter', 'median', 'predict', 'reorder', 'setNames'], 'package:utils': ['read.csv', 'stack', 'str', 'write.csv']}"
wtjw1993-predicting-survival-on-the-titanic,0.754,"['filter', 'as.factor', 'attr', 'c', 'data.frame', 'factor', 'gsub', 'ifelse', 'lapply', 'length', 'library', 'names', 'paste', 'rep', 'sapply', 'seq', 'set.seed', 'strsplit', 'which.max', 'bind_rows', 'svm', 'complete', 'md.pattern', 'mice', 'randomForest', 'glm', 'median', 'predict', 'read.csv', 'write.csv']","['dplyr', 'mice', 'randomForest', 'e1071', 'base']",1.4715899984041798,"['complete', 'which.max', 'median', 'lapply', 'md.pattern', 'svm', 'glm', 'names', 'as.factor', 'filter', 'sapply', 'mice', 'rep', 'set.seed', 'gsub', 'factor', 'length', 'read.csv', 'attr', 'randomForest', 'c', 'paste', 'ifelse', 'predict', 'write.csv', 'seq', 'bind_rows', 'data.frame', 'strsplit', 'library']",[],"['venkatko-titanic-survival1', 'abedben-exploring-survival-on-the-titanic', 'tetyama-trial-titanic', 'hemingwei-titanic-r-solution-from-megan-risdal', 'arunkumarramanan-data-science-in-r-and-titanic-survival-prediction', 'yugrao-exploring-survival-on-the-titanic', 'yugrao-titanic-n', 'bonesaw98616-exploring-survival-on-the-titanic', 'krupan-exploring-survival-on-the-titanic', 'mira5b-exploring-survival-on-the-titanic']","[0.612207098547842, 0.6062708080618272, 0.60113720605241, 0.6007249012331355, 0.6006624825721206, 0.600312082418552, 0.600312082418552, 0.5980612747129879, 0.5970836444892478, 0.5967903363879817]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'attr', 'c', 'data.frame', 'factor', 'gsub', 'ifelse', 'lapply', 'length', 'library', 'names', 'paste', 'rep', 'sapply', 'seq', 'set.seed', 'strsplit', 'which.max'], 'package:dplyr': ['bind_rows'], 'package:e1071': ['svm'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['randomForest'], 'package:stats': ['glm', 'median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
qianbi-titanic-voting,0.734,"['as.numeric', 'c', 'data.frame', 'factor', 'gsub', 'ifelse', 'lapply', 'library', 'nrow', 'round', 'bind_rows', 'svm', 'complete', 'mice', 'nnet', 'randomForest', 'rpart', 'glm', 'predict', 'read.csv', 'write.csv']","['dplyr', 'mice', 'nnet', 'randomForest', 'rpart', 'e1071', 'base']",18.609266042709397,"['nrow', 'complete', 'lapply', 'svm', 'glm', 'nnet', 'rpart', 'round', 'mice', 'gsub', 'factor', 'read.csv', 'randomForest', 'c', 'as.numeric', 'ifelse', 'predict', 'write.csv', 'bind_rows', 'data.frame', 'library']",[],"['qianbi-titanic-voting-2', 'qianbi-titanic-rpart-2', 'qianbi-titanic-rpart', 'qianbi-titanic-nnet', 'qianbi-titanic-svm', 'qianbi-titanic-randomforest', 'qianbi-titanic-logistic-2', 'qianbi-titanic-rpart-3', 'jasonhit-first-script-for-kaggle-titanic', 'venkatko-titanic-survival1']","[0.7651794092722722, 0.562641037377273, 0.5535251378917199, 0.5056037468555354, 0.4902047821698579, 0.4841818636725836, 0.4821792970107861, 0.4039510192972283, 0.4017957169102123, 0.39876188347366914]","{'package:base': ['as.numeric', 'c', 'data.frame', 'factor', 'gsub', 'ifelse', 'lapply', 'library', 'nrow', 'round'], 'package:dplyr': ['bind_rows'], 'package:e1071': ['svm'], 'package:mice': ['complete', 'mice'], 'package:nnet': ['nnet'], 'package:randomForest': ['randomForest'], 'package:rpart': ['rpart'], 'package:stats': ['glm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
venkatko-titanic-survival1,0.744,"['filter', 'as.factor', 'as.matrix', 'c', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'paste', 'sapply', 'set.seed', 'strsplit', 'sum', 'system', 'bind_rows', 'complete', 'md.pattern', 'mice', 'randomForest', 'median', 'predict', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",32.226943016052196,"['complete', 'median', 'lapply', 'md.pattern', 'is.na', 'names', 'as.factor', 'filter', 'sapply', 'mice', 'str', 'as.matrix', 'set.seed', 'gsub', 'factor', 'read.csv', 'randomForest', 'c', 'paste', 'sum', 'predict', 'write.csv', 'bind_rows', 'data.frame', 'strsplit', 'library', 'system']",[],"['abedben-exploring-survival-on-the-titanic', 'arunkumarramanan-data-science-in-r-and-titanic-survival-prediction', 'xxxmatxxx-titanic-getting-started-with-randomforest', 'tetyama-trial-titanic', 'yugrao-exploring-survival-on-the-titanic', 'yugrao-titanic-n', 'hemingwei-titanic-r-solution-from-megan-risdal', 'mira5b-exploring-survival-on-the-titanic', 'birudvora-test-titanic', 'mohankanni-exploring-survival-on-the-titanic']","[0.9694747188702441, 0.962852323791541, 0.9602114918550516, 0.9598657133563706, 0.9582326090046275, 0.9582326090046275, 0.9575424913371998, 0.9509840021224258, 0.9507678762609992, 0.9505552166964587]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'as.matrix', 'c', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'paste', 'sapply', 'set.seed', 'strsplit', 'sum', 'system'], 'package:dplyr': ['bind_rows'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['randomForest'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
daiearth22-exploring-survival-on-the-titanic,0.744,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",36.1292788982391,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']","['rayuga-exploring-survival-on-the-titanic', 'dukasguo-exploring-survival-on-the-titanic', 'cosentinoda12-exploring-survival-on-the-titanic-dc', 'akramsayadi-exploring-survival-on-the-titanic', 'proj20-exploring-survival-on-the-titanic', 'mrsheriff-exploring-survival-on-the-titanic', 'alfonzo-exploring-survival-on-the-titanic', 'datascikrid-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-datset', 'aturner-exploring-survival-on-the-titanic', 'srikarnamburu-exploring-survival-on-the-titanic', 'metal32-exploring-survival-on-the-titanic', 'fertueros-exploring-survival-on-the-titanic', 'ambikanair-exploring-survival-on-the-titanic', 'kogamstk-exploring-survival-on-the-titanic', 'ryukojin-exploring-survival-on-the-titanic', 'grapple-exploring-survival-on-the-titanic', 'datadatum-exploring-survival-on-the-titanic', 'chdhatri-exploring-survival-on-the-titanic', 'juturu97-exploring-survival-on-the-titanic', 'vibhasg-exploring-survival-on-the-titanic', 'odujokod-exploring-survival-on-the-titanic', 'rivinwita-exploring-survival-on-the-titanic-test', 'pengelinliu-exploring-survival-on-the-titanic-peng', 'dylanmj-exploring-survival-on-the-titanic', 'alexandrakp-exploring-survival-on-the-titanic', 'petrodatatoenergy-exploring-survival-on-the-titanic', 'abhinavralhan-exploring-survival-on-the-titanic', 'felixhalim-exploring-survival-on-the-titanic', 'phoanghuong86-exploring-survival-on-the-titanic', 'mchatham-exploring-survival-on-the-titanic01', 'shridhar1991-exploring-survival-on-the-titanic', 'leedongkyu-exploring-survival-on-the-titanic', 'krietallo64-exploring-survival-on-the-titanic', 'dataninja2014-exploring-survival-on-the-titanic', 'dasbeste-exploring-survival-on-the-titanic', 'virgodata-exploring-survival-on-the-titanic', 'prachimalusare-exploring-survival-on-the-titanic', 'rmenendezm-exploring-survival-on-the-titanic', 'sidhere-exploring-survival-on-the-titanic', 'chemalytics-exploring-survival-on-the-titanic', 'z888888861-exploring-survival-on-the-titanic', 'chauhanheta-exploring-survival-on-the-titanic', 'trvrmgn-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-problem', 'hemantkhurana-exploring-survival-on-the-titanic', 'giannismo-exploring-survival-on-the-titanic', 'mrisdal-exploring-survival-on-the-titanic', 'mtknowlt-exploring-survival-on-the-titanic', 'jenioai-exploring-survival-on-the-titanic', 'gauravsatav-exploring-survival-on-the-titanic', 'ludejun-exploring-survival-on-the-titanic', 'yizhouwang-exploring-survival-on-the-titanic', 'arfinul-exploring-survival-on-the-titanicc', 'fermm92-exploring-survival-on-the-titanic', 'swatishukla-exploring-survival-on-the-titanic', 'nefise-exploring-survival-on-the-titanic', 'curtaincall-exploring-survival-on-the-titanic', 'gpellis-exploring-survival-on-the-titanic-with-r-notebook', 'tabouzid-exploring-survival-on-the-titanic', 'archeryue-exploring-survival-on-the-titanic', 'bryan1201-exploring-survival-on-the-titanic-by-bryan1201', 'contactsheetal-exploring-survival-on-the-titanic', 'dheerajgoudborlla-exploring-survival-on-the-titanic', 'dineshary-exploring-survival-on-the-titanic', 'pantelisvlachas-exploring-survival-on-the-titanic', 'tessacooper-exploring-survival-on-the-titanic3', 'kanhuachary-exploring-survival-on-the-titanic', 'foreman3-exploring-survival-on-the-titanic', 'gravc91-exploring-survival-on-the-titanic-forked', 'tessacooper-exploring-survival-on-the-titanic', 'johngunawan-exploring-survival-on-the-titanic', 'pcminers-exploring-survival-on-the-titanic', 'jamcarwal-exploring-survival-on-the-titanic', 'shikharparashar-exploring-survival-on-the-titanic']","['mohankanni-exploring-survival-on-the-titanic', 'mira5b-exploring-survival-on-the-titanic', 'kyanyoga-exploring-survival-on-the-titanic', 'wendyzhang1020-exploring-survival-on-the-titanic', 'tjbaur-exploring-survival-on-the-titanic', 'oldflag-exploring-survival-on-the-titanic-inr-frommegan', 'bonesaw98616-exploring-survival-on-the-titanic', 'birudvora-test-titanic', 'mac4vity-exploring-survival-on-the-titanic', 'oreddo-exploring-survival-on-the-titanic']","[0.9999223102572843, 0.9999082947975734, 0.9998880450505403, 0.9998452817816588, 0.9998108156917839, 0.9997329727732573, 0.999713177028438, 0.9995511894352215, 0.9994806919838781, 0.9994696970152622]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
naomi7-survival-on-the-titanic,0.737,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",24.558641910553003,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']",[],"['naomi7-survival-on-the-titanic', 'rayuga-exploring-survival-on-the-titanic', 'dukasguo-exploring-survival-on-the-titanic', 'cosentinoda12-exploring-survival-on-the-titanic-dc', 'akramsayadi-exploring-survival-on-the-titanic', 'proj20-exploring-survival-on-the-titanic', 'mrsheriff-exploring-survival-on-the-titanic', 'alfonzo-exploring-survival-on-the-titanic', 'datascikrid-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-datset']","[0.9999999999999999, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754, 0.9981202203758754]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
econdata-machine-learning-on-titanic-dataset,0.756,"['user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'as.factor', 'c', 'data.frame', 'is.na', 'library', 'list.files', 'return', 'row.names', 'set.seed', 'aes', 'coord_flip', 'element_text', 'geom_bar', 'ggplot', 'ggsave', 'ggtitle', 'theme', 'theme_light', 'xlab', 'ylab', 'importance', 'randomForest', 'median', 'predict', 'reorder', 'read.csv', 'write.csv']","['tidyverse', 'ggplot2', 'randomForest', 'base']",2.12341713905334,"['median', 'element_text', 'coord_flip', 'theme', 'is.na', 'ggsave', 'as.factor', 'importance', 'theme_light', 'set.seed', 'xlab', 'geom_bar', 'read.csv', 'randomForest', 'return', 'row.names', 'c', 'aes', 'ylab', 'reorder', 'predict', 'write.csv', 'list.files', 'ggtitle', 'data.frame', 'ggplot', 'user defined', 'library']",[],"['francoisolivier-titanic-20', 'areebaatif-titanic', 'zhxiangxyang-titanic', 'johno883-john-orr-titanic-random-forest', 'yinpatt-patrick-s-titanic', 'francoisolivier-fork-of-titanic-20', 'fredman-titanic-barebones-benchmark-r', 'diegosiebra-rf-titanic-prediction-th3one', 'panda1023-svm-example-for-titanic', 'manskj-machine-learning-and-titanic']","[0.9945317933598672, 0.9945317933598672, 0.9945317933598672, 0.9932749243276986, 0.9117721189092378, 0.8940757468080639, 0.8937469085235961, 0.878038418583065, 0.8234754761810333, 0.5875948341060949]","{'character(0)': ['extractFeatures'], 'package:base': ['as.factor', 'c', 'data.frame', 'is.na', 'library', 'list.files', 'return', 'row.names', 'set.seed'], 'package:ggplot2': ['aes', 'coord_flip', 'element_text', 'geom_bar', 'ggplot', 'ggsave', 'ggtitle', 'theme', 'theme_light', 'xlab', 'ylab'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'write.csv']}"
waithira-titanic-analysis-with-r,0.761,"['user defined', 'user defined', 'user defined', 'apply', 'as.factor', 'c', 'colSums', 'data.frame', 'dim', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'mean', 'names', 'sample', 'sum', 'summary', 'table', 'unique', 'bind_rows', 'aes', 'facet_wrap', 'geom_bar', 'geom_histogram', 'ggplot', 'ylab', 'plot', 'randomForest', 'rpart', 'rpart.plot', 'binomial', 'glm', 'predict', 'read.csv', 'str', 'write.csv']","['ggplot2', 'dplyr', 'GGally', 'rpart', 'rpart.plot', 'randomForest', 'base']",2.8401057720184304,"['mean', 'facet_wrap', 'is.na', 'glm', 'colSums', 'names', 'rpart', 'as.factor', 'summary', 'geom_histogram', 'str', 'gsub', 'dim', 'unique', 'geom_bar', 'apply', 'length', 'binomial', 'read.csv', 'table', 'randomForest', 'c', 'aes', 'ylab', 'sample', 'ifelse', 'sum', 'plot', 'predict', 'write.csv', 'bind_rows', 'data.frame', 'ggplot', 'rpart.plot', 'user defined', 'library']",[],"['dsvijayaraghavan-vra-titanic', 'shashank74-titanic-disaster-data-exploration-and-modelling', 'researchbigd-titanic-forkedfrommeganscript', 'hemingwei-titanic-r-solution-from-megan-risdal', 'yugrao-exploring-survival-on-the-titanic', 'yugrao-titanic-n', 'yuanwxu-exploring-survival-on-the-titanic', 'tetyama-trial-titanic', 'msantos68-exploring-survival-on-the-titanic', 'xxxmatxxx-titanic-getting-started-with-randomforest']","[0.9802023170574876, 0.5084728755874212, 0.4860563041782727, 0.4855824177280074, 0.48531797463781706, 0.48531797463781706, 0.4837760645346373, 0.483478214020258, 0.4818727600920931, 0.48152550268300687]","{'character(0)': ['set'], 'package:base': ['apply', 'as.factor', 'c', 'colSums', 'data.frame', 'dim', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'mean', 'names', 'sample', 'sum', 'summary', 'table', 'unique'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'facet_wrap', 'geom_bar', 'geom_histogram', 'ggplot', 'ylab'], 'package:graphics': ['plot'], 'package:randomForest': ['randomForest'], 'package:rpart': ['rpart'], 'package:rpart.plot': ['rpart.plot'], 'package:stats': ['binomial', 'glm', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
orbanjan-exploring-survival-on-the-titanic-new,0.744,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",27.5028700828552,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']",[],"['rayuga-exploring-survival-on-the-titanic', 'dukasguo-exploring-survival-on-the-titanic', 'cosentinoda12-exploring-survival-on-the-titanic-dc', 'akramsayadi-exploring-survival-on-the-titanic', 'proj20-exploring-survival-on-the-titanic', 'mrsheriff-exploring-survival-on-the-titanic', 'alfonzo-exploring-survival-on-the-titanic', 'datascikrid-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-datset', 'aturner-exploring-survival-on-the-titanic']","[0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249, 0.9968953251547249]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
