"","x"
"245","Survived"
"246","Not Survived"
"247","Survived"
"248","Not Survived"
"249","Survived"
"250","Survived"
"251","Survived"
"252","Not Survived"
"253","Not Survived"
"254","Not Survived"
"255","Not Survived"
"256","Not Survived"
"257","Not Survived"
"258","Not Survived"
"259","Survived"
"260","Not Survived"
"261","Not Survived"
"262","Not Survived"
"263","Survived"
"264","Survived"
"265","Not Survived"
"266","Not Survived"
"267","Not Survived"
"268","Not Survived"
"269","Survived"
"270","Not Survived"
"271","Not Survived"
"272","Not Survived"
"273","Survived"
"274","Survived"
"275","Not Survived"
"276","Survived"
"277","Not Survived"
"278","Not Survived"
"279","Not Survived"
"280","Not Survived"
"281","Survived"
"282","Survived"
"283","Survived"
"284","Survived"
"285","Survived"
"286","Not Survived"
"287","Not Survived"
"288","Not Survived"
"289","Not Survived"
"290","Not Survived"
"291","Not Survived"
"292","Survived"
"293","Not Survived"
"294","Survived"
"295","Not Survived"
"296","Not Survived"
"297","Survived"
"298","Not Survived"
"299","Not Survived"
"300","Not Survived"
"301","Not Survived"
"302","Not Survived"
"303","Not Survived"
"304","Not Survived"
"305","Survived"
"306","Survived"
"307","Not Survived"
"308","Survived"
"309","Not Survived"
"310","Survived"
"311","Not Survived"
"312","Not Survived"
"313","Not Survived"
"314","Survived"
"315","Survived"
"316","Survived"
"317","Not Survived"
"318","Not Survived"
"319","Not Survived"
"320","Not Survived"
"321","Not Survived"
"322","Not Survived"
"323","Not Survived"
"324","Not Survived"
"325","Survived"
"326","Not Survived"
"327","Survived"
"328","Not Survived"
"329","Not Survived"
"330","Not Survived"
"331","Survived"
"332","Not Survived"
"333","Not Survived"
"334","Survived"
"335","Not Survived"
"336","Not Survived"
"337","Not Survived"
"338","Not Survived"
"339","Not Survived"
"340","Not Survived"
"341","Not Survived"
"342","Not Survived"
"343","Not Survived"
"344","Survived"
"345","Survived"
"346","Survived"
"347","Not Survived"
"348","Survived"
"349","Not Survived"
"350","Survived"
"351","Survived"
"352","Not Survived"
"353","Not Survived"
"354","Not Survived"
"355","Survived"
"356","Not Survived"
"357","Survived"
"358","Not Survived"
"359","Not Survived"
"360","Survived"
"361","Not Survived"
"362","Survived"
"363","Survived"
"364","Not Survived"
"365","Survived"
"366","Not Survived"
"367","Not Survived"
"368","Survived"
"369","Survived"
"370","Not Survived"
"371","Not Survived"
"372","Survived"
"373","Not Survived"
"374","Not Survived"
"375","Survived"
"376","Survived"
"377","Survived"
"378","Not Survived"
"379","Not Survived"
"380","Not Survived"
"381","Not Survived"
"382","Not Survived"
"383","Survived"
"384","Survived"
"385","Not Survived"
"386","Survived"
"387","Not Survived"
"388","Not Survived"
"389","Not Survived"
"390","Survived"
"391","Not Survived"
"392","Survived"
"393","Survived"
"394","Not Survived"
"395","Not Survived"
"396","Survived"
"397","Not Survived"
"398","Survived"
"399","Not Survived"
"400","Not Survived"
"401","Survived"
"402","Not Survived"
"403","Survived"
"404","Not Survived"
"405","Not Survived"
"406","Not Survived"
"407","Not Survived"
"408","Not Survived"
"409","Survived"
"410","Survived"
"411","Survived"
"412","Survived"
"413","Survived"
"414","Not Survived"
"415","Survived"
"416","Not Survived"
"417","Not Survived"
"418","Survived"
